Date,Open,High,Low,Close,Adj Close,Volume
2018-04-05,47.880001,48.169998,47.259998,47.910000,45.055553,2235700
2018-04-06,47.410000,47.430000,45.919998,46.459999,43.691948,1954200
2018-04-09,46.730000,46.959999,45.529999,45.610001,42.892586,2483700
2018-04-10,46.200001,47.240002,46.130001,46.639999,43.861221,2162800
2018-04-11,46.209999,46.650002,45.900002,46.110001,43.362797,1582500
2018-04-12,46.169998,46.290001,45.520000,45.930000,43.193527,1454700
2018-04-13,46.189999,46.730000,44.980000,45.200001,42.507015,2118000
2018-04-16,45.000000,45.020000,43.290001,43.349998,40.767235,4533700
2018-04-17,43.869999,43.869999,42.360001,42.369999,39.845623,4113300
2018-04-18,42.740002,43.790001,42.299999,42.419998,39.892643,2168200
2018-04-19,42.150002,42.200001,40.919998,41.639999,39.480206,3084900
2018-04-20,41.439999,41.830002,40.689999,40.880001,38.759628,3347100
2018-04-23,41.119999,41.619999,40.450001,41.209999,39.072514,2615700
2018-04-24,41.540001,42.320000,41.029999,41.709999,39.546577,2343900
2018-04-25,41.630001,42.180000,41.290001,41.939999,39.764645,1801700
2018-04-26,42.169998,43.570000,41.500000,43.160000,40.921364,1774500
2018-04-27,43.209999,44.840000,43.119999,44.410000,42.106533,2469100
2018-04-30,44.500000,44.509998,43.060001,43.080002,40.845516,2707900
2018-05-01,43.000000,43.049999,41.549999,42.610001,40.399899,2089100
2018-05-02,42.400002,43.040001,41.980000,42.599998,40.390419,1584500
2018-05-03,42.430000,42.529999,41.430000,41.650002,39.489689,1726500
2018-05-04,41.400002,41.930000,40.700001,41.669998,39.508652,1812700
2018-05-07,41.630001,41.630001,40.020000,40.520000,38.418304,3390200
2018-05-08,40.500000,42.080002,40.419998,41.930000,39.755165,3280300
2018-05-09,41.820000,41.959999,41.119999,41.459999,39.309544,2527000
2018-05-10,41.439999,41.990002,40.770000,41.860001,39.688793,2407200
2018-05-11,41.740002,42.730000,41.259998,42.590000,40.380932,2415900
